år,landbrug_skovbrug_fiskeri_Co2_1000ton,industri_Co2_1000ton,forsyningsvirksomhed_Co2_1000ton,øvrige_virksomheder_Co2_1000ton
1990,16403,8269,27685,10901
1991,16379,8806,36573,11487
1992,16117,8903,31285,11307
1993,16057,8892,32838,11562
1994,15885,9056,36993,11639
1995,15965,9860,33270,11414
1996,15616,9929,45745,12052
1997,15502,9520,36566,12765
1998,15464,9315,32973,12340
1999,15100,9369,29755,12923
2000,15201,9188,26518,12274
2001,15251,9185,27789,12520
2002,15214,8703,27859,12078
2003,14982,8690,32606,12738
2004,14862,8605,26438,12914
2005,14674,7729,23070,12719
2006,14395,8017,30810,12895
2007,14490,7901,25943,13158
2008,14351,7027,23877,12568
2009,14144,5870,23730,11392
2010,14133,5948,23757,11762
2011,14100,6119,20856,11020
2012,13860,5930,17315,10484
2013,13838,5631,20285,10410
2014,13829,5609,15738,10202
2015,13726,5621,12855,10566
2016,13933,5770,14339,10589
2017,13900,6055,12371,10767
2018,13775,5854,11535,11013
2019,13651,5728,8362,10529
2020,13928,5620,7470,8603
2021,13796,5725,8278,8983
2022,13627,5891,8078,9941
